modality,level,metric,enhanced_change,no_noise_change,difference,ci95_low,ci95_high
emg,0.0,roc_auc,0.0,0.0,0.0,0.0,0.0
emg,0.0,accuracy,0.0,0.0,0.0,0.0,0.0
emg,0.0,sensitivity,0.0,0.0,0.0,0.0,0.0
emg,0.0,specificity,0.0,0.0,0.0,0.0,0.0
emg,0.0,balanced_accuracy,0.0,0.0,0.0,0.0,0.0
emg,0.0,f1,0.0,0.0,0.0,0.0,0.0
emg,0.0,brier,0.0,0.0,0.0,0.0,0.0
emg,0.0,log_loss,0.0,0.0,0.0,0.0,0.0
emg,0.25,roc_auc,0.0004675081813930726,0.0007012622720897754,-0.00023375409069670283,-0.01589527816736802,0.016129032258064724
emg,0.25,accuracy,0.0,-0.03529411764705892,0.03529411764705892,0.0,0.08235294117647052
emg,0.25,sensitivity,0.0,-0.048387096774193505,0.048387096774193505,0.0,0.11290322580645151
emg,0.25,specificity,0.0,0.0,0.0,0.0,0.0
emg,0.25,balanced_accuracy,0.0,-0.024193548387096753,0.024193548387096753,0.0,0.056451612903225645
emg,0.25,f1,0.0,-0.0261211832061069,0.0261211832061069,0.0,0.06076388888888884
emg,0.25,brier,-0.00033916698050240335,-0.0004612925398760903,0.00012212555937368696,-0.004314156210351444,0.0036841013870740165
emg,0.25,log_loss,-0.0023488258587928135,-0.004922766019067215,0.0025739401602744016,-0.009333865691176068,0.014626118603830333
emg,0.5,roc_auc,0.0018700327255727345,-0.036231884057971064,0.0381019167835438,-0.007252220663861858,0.09046283309957914
emg,0.5,accuracy,0.0,-0.11764705882352944,0.11764705882352944,0.02352941176470591,0.21176470588235297
emg,0.5,sensitivity,0.0,-0.24193548387096753,0.24193548387096753,0.14516129032258052,0.3548387096774194
emg,0.5,specificity,0.0,0.21739130434782616,-0.21739130434782616,-0.43478260869565216,0.0
emg,0.5,balanced_accuracy,0.0,-0.012272089761570903,0.012272089761570903,-0.10448807854137443,0.12903225806451601
emg,0.5,f1,0.0,-0.11072140843133216,0.11072140843133216,0.03878103604954052,0.19393836329409198
emg,0.5,brier,-0.00031937066007993453,0.0484174365262148,-0.04873680718629474,-0.08239336541941086,-0.016421741248943106
emg,0.5,log_loss,-0.0017942437068304562,0.11824733241457969,-0.12004157612141014,-0.21651163787641914,-0.029319755204688363
emg,1.0,roc_auc,0.007012622720897643,-0.03342683496961196,0.040439457690509606,-0.005610098176717984,0.09373539036933143
emg,1.0,accuracy,0.0,-0.11372549019607847,0.11372549019607847,0.02352941176470591,0.207843137254902
emg,1.0,sensitivity,0.0,-0.25268817204301075,0.25268817204301075,0.14516129032258085,0.36559139784946226
emg,1.0,specificity,0.0,0.26086956521739135,-0.26086956521739135,-0.4347826086956522,-0.08695652173913049
emg,1.0,balanced_accuracy,0.0,0.004090696587190301,-0.004090696587190301,-0.10939691444600275,0.09607293127629735
emg,1.0,f1,0.0,-0.111128654710138,0.111128654710138,0.03933050569693734,0.19486903023728097
emg,1.0,brier,-0.0017173043479859068,0.051926613031458485,-0.05364391737944439,-0.08871893246587917,-0.019896386449422793
emg,1.0,log_loss,-0.0061893236777268434,0.12687157603446603,-0.13306089971219287,-0.23342024575273063,-0.04027582215912726
emg,2.0,roc_auc,0.012856474988312327,-0.028050490883590462,0.04090696587190279,0.0007012622720896644,0.0848585787751287
emg,2.0,accuracy,0.0,-0.10588235294117654,0.10588235294117654,0.0235294117647058,0.19999999999999996
emg,2.0,sensitivity,-0.016129032258064613,-0.24193548387096753,0.22580645161290291,0.12903225806451601,0.33870967741935465
emg,2.0,specificity,0.04347826086956519,0.26086956521739135,-0.21739130434782616,-0.391304347826087,-0.0434782608695653
emg,2.0,balanced_accuracy,0.013674614305750232,0.009467040673212024,0.0042075736325382085,-0.0964849228611504,0.09922861150070128
emg,2.0,f1,-0.0014423076923076872,-0.10367800138792505,0.10223569369561736,0.032436596926929635,0.1824394366005927
emg,2.0,brier,-0.0021658308780298785,0.04715701190607138,-0.04932284278410126,-0.08142098914300044,-0.018904644712785242
