run,modality,roc_auc,accuracy,sensitivity,specificity,balanced_accuracy,f1,brier,log_loss
formal_v1,us,0.6122019635343618,0.7294117647058823,0.9516129032258065,0.13043478260869565,0.541023842917251,0.8368794326241135,0.21405566809874105,0.6534334190795749
formal_v1,emg,0.4123422159887798,0.6705882352941176,0.8548387096774194,0.17391304347826086,0.5143758765778401,0.7910447761194029,0.24535977364330205,0.708848488790395
formal_v1,table,0.896914446002805,0.788235294117647,0.8064516129032258,0.7391304347826086,0.7727910238429172,0.847457627118644,0.13840906243928858,0.4680561210378964
noise_aug_v1,us,0.6339410939691444,0.7176470588235294,0.9838709677419355,0.0,0.49193548387096775,0.8356164383561644,0.21133661559513037,0.657653543695036
noise_aug_v1,emg,0.3899018232819074,0.6588235294117647,0.8709677419354839,0.08695652173913043,0.4789621318373072,0.7883211678832117,0.24210790796097792,0.686836541298095
noise_aug_v1,table,0.8997194950911641,0.8,0.8225806451612904,0.7391304347826086,0.7808555399719495,0.8571428571428571,0.1324360221231676,0.47814816852109326
