setting,modality,level,variable,mean,change,ci95_low,ci95_high
positive_margin,emg,0.0,quality,0.11562806364130593,0.0,0.0,0.0
positive_margin,emg,0.0,branch_loss,0.7798975281855639,0.0,0.0,0.0
positive_margin,emg,0.25,quality,0.1382602149854434,0.022632151344137458,0.012057641641159994,0.033659418311069556
positive_margin,emg,0.25,branch_loss,0.8975554064597958,0.11765787827423199,-0.004704453722129446,0.25598516256688464
positive_margin,emg,0.5,quality,0.23676277186319816,0.12113470822189222,0.09994996737152356,0.141470621745064
positive_margin,emg,0.5,branch_loss,2.99661496308894,2.2167174349033756,1.8228669238840447,2.6092767797595537
positive_margin,emg,1.0,quality,0.24932667566994063,0.1336986120286347,0.1110156575034389,0.15519346250254615
positive_margin,emg,1.0,branch_loss,3.270981379330548,2.491083851144984,2.130958445350719,2.8559248921499143
positive_margin,emg,2.0,quality,0.25020940542781084,0.13458134178650485,0.11274031525262433,0.1552879220747702
positive_margin,emg,2.0,branch_loss,3.3416732833081597,2.5617757551225955,2.2558950507986584,2.879010145863871
positive_margin,table,0.0,quality,0.3535197868358855,0.0,0.0,0.0
positive_margin,table,0.0,branch_loss,0.6537290636230918,0.0,0.0,0.0
positive_margin,table,0.25,quality,0.3513274469796349,-0.002192339856250608,-0.006686437269977096,0.0023097328359589866
positive_margin,table,0.25,branch_loss,0.6732280400064257,0.019498976383333918,-0.03253078438487702,0.0753194050247373
positive_margin,table,0.5,quality,0.34219799985488253,-0.011321786981002958,-0.02022142344610948,-0.002274412718522402
positive_margin,table,0.5,branch_loss,0.68765516810947,0.03392610448637819,-0.07075663021966516,0.13973786368868713
positive_margin,table,1.0,quality,0.3213303345870348,-0.03218945224885068,-0.04773411079169878,-0.016922779070590845
positive_margin,table,1.0,branch_loss,0.7515101527856065,0.09778108916251488,-0.0829164614416415,0.2756043374148848
positive_margin,table,2.0,quality,0.2977557866401922,-0.055764000195693345,-0.07703468824840255,-0.0347414255843443
positive_margin,table,2.0,branch_loss,0.9108757543018439,0.25714669067875234,-0.0060624084860281474,0.5053509286620648
positive_margin,us,0.0,quality,0.2556281232366375,0.0,0.0,0.0
positive_margin,us,0.0,branch_loss,0.7742528061072033,0.0,0.0,0.0
positive_margin,us,0.25,quality,0.11295093743045347,-0.14267718580618402,-0.1587298644504516,-0.12709498678741896
positive_margin,us,0.25,branch_loss,0.6929927670877744,-0.08126003901942885,-0.2143816503668143,0.04317125850156238
positive_margin,us,0.5,quality,0.08985599217072031,-0.16577213106591718,-0.18127444596145476,-0.15058811431373254
positive_margin,us,0.5,branch_loss,0.6941489659103692,-0.08010384019683389,-0.2124381394060998,0.04665933549696319
positive_margin,us,1.0,quality,13.457562622525332,13.201934499288695,11.757846701596103,14.677065857506904
positive_margin,us,1.0,branch_loss,37.071454702639116,36.29720189653191,26.74661895726241,46.98196881189064
positive_margin,us,2.0,quality,204.01487859588823,203.75925047265156,182.42908691514185,225.65513859133225
positive_margin,us,2.0,branch_loss,573.2003910239225,572.4261382178154,418.7696347336364,747.5366197539864
