modality,level,metric,enhanced_change,no_noise_change,difference,ci95_low,ci95_high
emg,0.0,roc_auc,0.0,0.0,0.0,0.0,0.0
emg,0.0,accuracy,0.0,0.0,0.0,0.0,0.0
emg,0.0,sensitivity,0.0,0.0,0.0,0.0,0.0
emg,0.0,specificity,0.0,0.0,0.0,0.0,0.0
emg,0.0,balanced_accuracy,0.0,0.0,0.0,0.0,0.0
emg,0.0,f1,0.0,0.0,0.0,0.0,0.0
emg,0.0,brier,0.0,0.0,0.0,0.0,0.0
emg,0.0,log_loss,0.0,0.0,0.0,0.0,0.0
emg,0.25,roc_auc,0.0004675081813930726,0.0032725572697521743,-0.0028050490883591017,-0.019635343618513382,0.012622720897615625
emg,0.25,accuracy,0.0,0.0,0.0,-0.03529411764705881,0.03529411764705881
emg,0.25,sensitivity,0.0,0.0,0.0,-0.048387096774193616,0.048387096774193505
emg,0.25,specificity,0.0,0.0,0.0,0.0,0.0
emg,0.25,balanced_accuracy,0.0,0.0,0.0,-0.024193548387096753,0.024193548387096753
emg,0.25,f1,0.0,0.0,0.0,-0.02563518286430444,0.025439127801332617
emg,0.25,brier,-0.00033916698050240335,-0.0031843530124240904,0.002845186031921687,-0.0021276078586695284,0.008025849375409379
emg,0.25,log_loss,-0.0023488258587928135,-0.006835115574501449,0.004486289715708636,-0.009573222910736912,0.017961546867795403
emg,0.5,roc_auc,0.0018700327255727345,-0.023375409069658737,0.02524544179523147,-0.01917367928938771,0.07176250584385224
emg,0.5,accuracy,0.0,-0.10588235294117654,0.10588235294117654,0.011764705882353121,0.20000000000000007
emg,0.5,sensitivity,0.0,-0.24193548387096753,0.24193548387096753,0.14516129032258052,0.3548387096774194
emg,0.5,specificity,0.0,0.26086956521739135,-0.26086956521739135,-0.4347826086956522,-0.08695652173913049
emg,0.5,balanced_accuracy,0.0,0.009467040673212024,-0.009467040673212024,-0.11500701262272106,0.09046283309957925
emg,0.5,f1,0.0,-0.10367800138792505,0.10367800138792505,0.03209549071618045,0.1867445463033699
emg,0.5,brier,-0.00031937066007993453,0.0519028281353814,-0.05222219879546133,-0.08778704102273184,-0.017599082287410518
emg,0.5,log_loss,-0.0017942437068304562,0.13789545348858323,-0.1396896971954137,-0.23356677526026504,-0.05012131380184549
emg,1.0,roc_auc,0.007012622720897643,-0.02244039270687237,0.029453015427770013,-0.01683029453015406,0.07667134174848045
emg,1.0,accuracy,0.0,-0.10588235294117654,0.10588235294117654,0.011764705882353007,0.20000000000000007
emg,1.0,sensitivity,0.0,-0.25806451612903225,0.25806451612903225,0.16129032258064502,0.3709677419354839
emg,1.0,specificity,0.0,0.30434782608695654,-0.30434782608695654,-0.47826086956521746,-0.13043478260869568
emg,1.0,balanced_accuracy,0.0,0.023141654978962256,-0.023141654978962256,-0.13429172510518916,0.0817145862552591
emg,1.0,f1,0.0,-0.10771840542832911,0.10771840542832911,0.03345342254246009,0.19487179487179496
emg,1.0,brier,-0.0017173043479859068,0.05650487427392835,-0.058222178621914256,-0.0951781748493871,-0.022731180663727618
emg,1.0,log_loss,-0.0061893236777268434,0.151848146555138,-0.15803747023286485,-0.25855787529684954,-0.06393978148032273
emg,2.0,roc_auc,0.012856474988312327,-0.016129032258064502,0.02898550724637683,-0.011220196353436185,0.06989831697054683
emg,2.0,accuracy,0.0,-0.11764705882352944,0.11764705882352944,0.02352941176470591,0.21176470588235297
emg,2.0,sensitivity,-0.016129032258064613,-0.27419354838709675,0.25806451612903214,0.14516129032258074,0.3709677419354839
emg,2.0,specificity,0.04347826086956519,0.30434782608695654,-0.26086956521739135,-0.4347826086956522,-0.08695652173913049
emg,2.0,balanced_accuracy,0.013674614305750232,0.015077138849929894,-0.0014025245441796619,-0.10941444600280541,0.09854488078541371
emg,2.0,f1,-0.0014423076923076872,-0.11914104301919104,0.11769873532688335,0.04120344385480806,0.20423374013087361
emg,2.0,brier,-0.0021658308780298785,0.05282410795125374,-0.054989938829283616,-0.08865832719456498,-0.022634798089469166
