seed,modality,fold,label,target,n,pearson,spearman
42,emg,-1,-1,loss,85,0.007276543657944806,-0.37451631815516906
42,emg,-1,-1,offset,85,0.9399805764969487,0.9629470392808286
42,emg,-1,-1,abs_gap,85,0.8130556051835485,0.7437756497948017
42,emg,-1,0,loss,23,0.8142707087170634,0.6808300395256918
42,emg,-1,0,offset,23,0.9449836516282594,0.9357707509881423
42,emg,-1,0,abs_gap,23,0.7890255642054529,0.7361660079051384
42,emg,-1,1,loss,62,-0.5532537485975448,-0.7801113041726474
42,emg,-1,1,offset,62,0.9393741639428748,0.9727027775679283
42,emg,-1,1,abs_gap,62,0.8256766768105906,0.7449069527334996
42,emg,0,-1,loss,17,-0.19348311611920269,-0.49019607843137264
42,emg,0,-1,offset,17,0.943531272233646,0.9558823529411765
42,emg,0,-1,abs_gap,17,0.471596424309608,0.6862745098039217
42,emg,0,0,loss,4,0.49279582123254895,0.7999999999999999
42,emg,0,0,offset,4,0.8608723234718609,0.7999999999999999
42,emg,0,0,abs_gap,4,0.22743913738636595,0.39999999999999997
42,emg,0,1,loss,13,-0.4019539707052334,-0.9340659340659341
42,emg,0,1,offset,13,0.9706757645063568,0.9835164835164836
42,emg,0,1,abs_gap,13,0.5820712943988733,0.7197802197802198
42,emg,1,-1,loss,17,-0.20008670349438074,-0.5171568627450981
42,emg,1,-1,offset,17,0.9727863493329714,0.9901960784313727
42,emg,1,-1,abs_gap,17,0.9894689080648625,0.8088235294117647
42,emg,1,0,loss,4,0.9941410998291464,1.0
42,emg,1,0,offset,4,0.9957578517476456,1.0
42,emg,1,0,abs_gap,4,0.9785045411950404,0.7999999999999999
42,emg,1,1,loss,13,-0.7732831726949737,-0.945054945054945
42,emg,1,1,offset,13,0.9741196530455078,0.9945054945054945
42,emg,1,1,abs_gap,13,0.9913479567839849,0.8186813186813187
42,emg,2,-1,loss,17,0.6046731156020683,-0.10294117647058824
42,emg,2,-1,offset,17,0.9751136486988712,0.982843137254902
42,emg,2,-1,abs_gap,17,0.9662120114069948,0.8137254901960784
42,emg,2,0,loss,5,0.9995834926340386,0.9999999999999999
42,emg,2,0,offset,5,0.9906618989578326,0.9999999999999999
42,emg,2,0,abs_gap,5,0.9974318084053178,0.9999999999999999
42,emg,2,1,loss,12,-0.755189527534397,-0.9160839160839163
42,emg,2,1,offset,12,0.9946221651270951,0.9790209790209792
42,emg,2,1,abs_gap,12,0.9122914366667051,0.5944055944055945
42,emg,3,-1,loss,17,0.1490120715376532,-0.06617647058823531
42,emg,3,-1,offset,17,0.8469933523170928,0.9387254901960785
42,emg,3,-1,abs_gap,17,0.6491658018773769,0.5416666666666667
42,emg,3,0,loss,5,-0.6188210004215423,-0.19999999999999998
42,emg,3,0,offset,5,0.8731713323432257,0.8999999999999998
42,emg,3,0,abs_gap,5,0.8038720988085724,0.6
42,emg,3,1,loss,12,0.40622486979626915,-0.006993006993006993
42,emg,3,1,offset,12,0.8471031733725222,0.9300699300699302
42,emg,3,1,abs_gap,12,0.5735556005290092,0.46153846153846156
42,emg,4,-1,loss,17,-0.07673389663677065,-0.5759803921568628
42,emg,4,-1,offset,17,0.9497945578180882,0.9779411764705883
42,emg,4,-1,abs_gap,17,0.8176533694258492,0.661764705882353
42,emg,4,0,loss,5,0.7090089111381003,0.7
42,emg,4,0,offset,5,0.9674837241246403,0.7
42,emg,4,0,abs_gap,5,0.7147872005038154,0.7
42,emg,4,1,loss,12,-0.8362408011831999,-0.9090909090909092
42,emg,4,1,offset,12,0.9534807140790291,0.9790209790209792
42,emg,4,1,abs_gap,12,0.9275418652613705,0.9090909090909092
42,table,-1,-1,loss,85,-0.2324808444840406,-0.8568497166308383
42,table,-1,-1,offset,85,0.6003491722660417,0.5411960132890364
42,table,-1,-1,abs_gap,85,0.941487495753165,0.9477037326558531
42,table,-1,0,loss,23,-0.12939129095283464,-0.7865612648221343
42,table,-1,0,offset,23,0.5574798245245992,0.5405138339920948
42,table,-1,0,abs_gap,23,0.9372459655181544,0.9061264822134387
42,table,-1,1,loss,62,-0.2658166714219853,-0.8688020951373676
42,table,-1,1,offset,62,0.6363100449841521,0.6052982800735314
42,table,-1,1,abs_gap,62,0.9428576480001879,0.9403188033542343
42,table,0,-1,loss,17,-0.02639008064546007,-0.8553921568627452
42,table,0,-1,offset,17,0.7235264745710177,0.6666666666666667
42,table,0,-1,abs_gap,17,0.98966530531166,0.9975490196078433
42,table,0,0,loss,4,-0.5361772241481433,-1.0
42,table,0,0,offset,4,0.9691334882588584,0.7999999999999999
42,table,0,0,abs_gap,4,0.9967226768889283,1.0
42,table,0,1,loss,13,0.05957768000903787,-0.8406593406593407
42,table,0,1,offset,13,0.7270596520693228,0.6758241758241759
42,table,0,1,abs_gap,13,0.9892106675220581,0.9945054945054945
42,table,1,-1,loss,17,-0.2543811369499586,-0.8357843137254902
42,table,1,-1,offset,17,-0.40781384583376157,-0.36764705882352944
42,table,1,-1,abs_gap,17,0.9681955308029889,0.948529411764706
42,table,1,0,loss,4,-0.8855165889451534,-1.0
42,table,1,0,offset,4,0.8539389903939042,0.7999999999999999
42,table,1,0,abs_gap,4,0.9904845509302149,1.0
42,table,1,1,loss,13,-0.2933982942590014,-0.8241758241758241
42,table,1,1,offset,13,-0.47538274539965575,-0.37912087912087916
42,table,1,1,abs_gap,13,0.9741985133575484,0.945054945054945
42,table,2,-1,loss,17,-0.4303784041642329,-0.9534313725490198
42,table,2,-1,offset,17,0.7737641056798801,0.8039215686274511
42,table,2,-1,abs_gap,17,0.9898111721893719,0.9803921568627453
42,table,2,0,loss,5,-0.34206641131834703,-0.8999999999999998
42,table,2,0,offset,5,0.9932174077771958,0.8999999999999998
42,table,2,0,abs_gap,5,0.9978980618741125,0.9999999999999999
42,table,2,1,loss,12,-0.6171143504173467,-1.0
42,table,2,1,offset,12,0.713388757478757,0.7762237762237763
42,table,2,1,abs_gap,12,0.9873018188158312,1.0
42,table,3,-1,loss,17,-0.43843843247806835,-0.9534313725490198
42,table,3,-1,offset,17,0.8119199528577747,0.6568627450980393
42,table,3,-1,abs_gap,17,0.9814549212748831,0.9901960784313727
42,table,3,0,loss,5,-0.8624084034590552,-0.9999999999999999
42,table,3,0,offset,5,-0.8218672099982276,-0.19999999999999998
42,table,3,0,abs_gap,5,0.992337500164203,0.9999999999999999
42,table,3,1,loss,12,-0.5596268852351121,-0.9370629370629372
42,table,3,1,offset,12,0.9613209348862888,0.9370629370629372
42,table,3,1,abs_gap,12,0.9970068797865836,0.9930069930069931
42,table,4,-1,loss,17,-0.49286116301109273,-0.9583333333333335
