seed,modality,fold,correct,variable,n,mean,std,min,p05,p25,median,p75,p95,max
42,emg,-1,-1,logit0,85,0.21310313851298654,0.4885891797413334,-1.1289244890213013,-0.3352942645549774,-0.0857775956392288,0.1144283041357994,0.3426877856254577,1.1120167732238768,1.419502854347229
42,emg,-1,-1,logit1,85,0.7914398701450623,1.1365708929680294,-1.2411584854125977,-0.5272705852985382,-0.0098908087238669,0.5532681345939636,1.475961685180664,2.683338451385498,5.138706684112549
42,emg,-1,-1,offset,85,0.5022715043290245,0.6266576855495657,-0.5193814635276794,-0.20181748196482655,0.01178966090083125,0.3017789199948311,0.8985525369644165,1.8643564343452452,2.236203745007515
42,emg,-1,-1,gap,85,0.5783367316320758,1.220748189911233,-2.274908661842346,-0.764326649904251,-0.009571641683578491,0.3608309030532837,0.9536612033843994,2.479870538413524,6.26763117313385
42,emg,-1,-1,abs_gap,85,0.8842212441514301,1.0212014050703808,0.004336148500442505,0.032556729763746295,0.268233262002468,0.42619621753692627,1.1536800861358643,2.479870538413524,6.26763117313385
42,emg,-1,-1,quality,85,0.1366124345318359,0.08593119240082163,0.0182202290743589,0.050270985066890636,0.0742520317435264,0.1116879805922508,0.1839461773633957,0.2855847060680389,0.5140601992607117
42,emg,-1,-1,loss,85,0.7402346574509471,0.6149041971329721,0.0018949197632656123,0.10286654549911756,0.43922920694816603,0.5987280906177526,0.8632875277470826,2.13701695688063,3.760030724960917
42,emg,-1,0,logit0,31,0.13712683721115032,0.4206773081990794,-0.6895439624786377,-0.3248733282089233,-0.15358671545982355,-0.0042930976487696,0.2989067435264587,0.9683561027050018,1.2174077033996582
42,emg,-1,0,logit1,31,0.4967089242812607,1.06328780614505,-1.110373854637146,-0.8217592835426332,-0.17117813974618906,0.1009223610162735,0.9986904561519622,2.6084145307540894,3.296011447906494
42,emg,-1,0,offset,31,0.31691788074620547,0.5467723066558181,-0.28378644585609436,-0.23862751573324203,-0.07615139393601562,0.0828019566833973,0.7309119636192918,1.1531778126955032,2.030520111322403
42,emg,-1,0,gap,31,0.35958208707011036,1.191327365318978,-2.113161563873291,-1.3413768708705902,-0.31868772208690643,0.20529732480645171,0.932255394756794,2.403202336281538,3.7364723682403564
42,emg,-1,0,abs_gap,31,0.8732858388083836,0.8865280663556523,0.028291344642639188,0.07964531891047955,0.2883038967847824,0.3874778151512146,1.1535510048270226,2.403202336281538,3.7364723682403564
42,emg,-1,0,quality,31,0.11689317899365576,0.07337869007266001,0.0420059189200401,0.0459577403962612,0.06499518081545824,0.0866624563932418,0.15323315560817713,0.26690988987684244,0.3372584283351898
42,emg,-1,0,loss,31,1.2886567924248402,0.7020628598214348,0.707392899567485,0.7338750728406022,0.8476560231297574,0.9055372273201958,1.427778762530635,2.490393869693664,3.760030724960917
42,emg,-1,1,logit0,54,0.256719163334411,0.518606124542351,-1.1289244890213013,-0.30373383760452266,-0.049282728694379274,0.16677741706371302,0.4025697708129883,1.1574267566204066,1.419502854347229
42,emg,-1,1,logit1,54,0.9606372649928003,1.1427361060409795,-1.2411584854125977,-0.3448308482766151,0.15275181829929346,0.7021656334400177,1.5214397013187408,2.653773105144501,5.138706684112549
