setting,seed,fold,modality,n,pearson,spearman,covariance,q_mean,q_std,q_mean_minus_one_third
positive_margin,42,0,us,17,0.4094331348001616,-0.49019607843137264,0.023396724253312073,0.22793413451461583,0.0528234818030464,-0.10539919881871748
positive_margin,42,0,emg,17,0.002067252870947195,-0.26470588235294124,3.343189079639384e-05,0.07758872857743672,0.03221273438157548,-0.2557446047558966
positive_margin,42,0,table,17,-0.08922581860679075,-0.8382352941176472,-0.0129024295123357,0.29901751707796614,0.10956962553341021,-0.03431581625536717
positive_margin,42,1,us,17,0.26497043558582667,-0.42401960784313725,0.032983622977950815,0.2648502282637489,0.08641565885472444,-0.06848310506958444
positive_margin,42,1,emg,17,-0.797948077485694,-0.7303921568627452,-0.014327781915380259,0.09236051358338633,0.07801978536724027,-0.240972819749947
positive_margin,42,1,table,17,-0.24858041704577002,-0.7941176470588236,-0.032004756023858744,0.3131034586479742,0.11691283868178004,-0.02022987468535914
positive_margin,42,2,us,17,0.09179357723052751,-0.590686274509804,0.025881754584669545,0.3889667595996232,0.11627786038232092,0.055633426266289865
positive_margin,42,2,emg,17,0.7215994380369661,-0.03921568627450981,0.03209001426623267,0.12781499770035293,0.057538243612830844,-0.2055183356329804
positive_margin,42,2,table,17,-0.43060210452440484,-0.9607843137254902,-0.08232686011961493,0.4740043702775253,0.1312173382723632,0.14067103694419197
positive_margin,42,3,us,17,-0.4544920864968343,-0.6127450980392157,-0.03353450744811672,0.23881684978835657,0.09308415073237897,-0.09451648354497674
positive_margin,42,3,emg,17,0.06308619652078445,-0.13725490196078433,0.0012607296337646195,0.11110767807572783,0.042040035818632464,-0.2222256552576055
positive_margin,42,3,table,17,-0.4376922531545691,-0.9558823529411765,-0.07379130161039783,0.3739935003178814,0.17561848334608446,0.04066016698454811
positive_margin,42,4,us,17,-0.09608674391514693,-0.590686274509804,-0.0014337768698299126,0.19863453117374844,0.03582115392295824,-0.13469880215958488
positive_margin,42,4,emg,17,-0.38676563978629136,-0.28921568627450983,-0.011274149574258025,0.15152652701589786,0.06392697276723545,-0.18180680631743545
positive_margin,42,4,table,17,-0.4499720441201851,-0.9509803921568628,-0.03989850275340966,0.26573502472587396,0.11169072750901984,-0.06759830860745936
positive_margin,43,0,us,17,0.06604898624296202,-0.5857843137254902,0.0076504482991811285,0.2803308066490496,0.0866024557476825,-0.053002526684283735
positive_margin,43,0,emg,17,0.10594967890084664,-0.482843137254902,0.008654403821985138,0.14770221537441355,0.09966898074709345,-0.18563111795891976
positive_margin,43,0,table,17,-0.38823933833490143,-0.8602941176470589,-0.08652986998795664,0.37471686533720977,0.14809960421808446,0.041383532003876455
positive_margin,43,1,us,17,-0.0014880518510565904,-0.5416666666666667,-0.0001525573010733521,0.2536162732894386,0.0798810945376375,-0.07971706004389473
positive_margin,43,1,emg,17,-0.3773973044079032,-0.5122549019607844,-0.0008586391180431592,0.09876704275374781,0.019864552132287567,-0.2345662905795855
positive_margin,43,1,table,17,-0.05494469496389871,-0.4803921568627451,-0.010392615358891489,0.3285681260376057,0.11516793853667139,-0.004765207295727603
positive_margin,43,2,us,17,-0.3312572931211048,-0.8039215686274511,-0.037396980410531015,0.2933346689901578,0.10001074082521738,-0.039998664343175505
positive_margin,43,2,emg,17,0.8910899985939374,0.502450980392157,0.03611715468017452,0.11297226688744766,0.048136908661373226,-0.22036106644588566
