setting,modality,level,comparison,metric,estimate,ci95_low,ci95_high
positive_margin,table,0.25,corrupted_minus_clean,f1,-0.01729509295777243,-0.04131987407076631,0.0027404647300809755
positive_margin,table,0.25,corrupted_minus_clean,brier,0.004634935943441498,-0.0011527793880652642,0.010541626364102647
positive_margin,table,0.25,corrupted_minus_clean,log_loss,0.0066152391559171075,-0.010531298904775284,0.02253344876111335
positive_margin,table,0.5,corrupted_minus_clean,roc_auc,-0.020336605890603154,-0.050964235624123534,0.0067788686302010515
positive_margin,table,0.5,corrupted_minus_clean,accuracy,-0.02352941176470602,-0.06666666666666654,0.015686274509803866
positive_margin,table,0.5,corrupted_minus_clean,sensitivity,-0.043010752688172005,-0.09139784946236562,0.0
positive_margin,table,0.5,corrupted_minus_clean,specificity,0.02898550724637672,-0.05797101449275366,0.10144927536231885
positive_margin,table,0.5,corrupted_minus_clean,balanced_accuracy,-0.007012622720897532,-0.05586722767648433,0.03541374474053316
positive_margin,table,0.5,corrupted_minus_clean,f1,-0.018581291753584916,-0.04792485745059545,0.007122506610631961
positive_margin,table,0.5,corrupted_minus_clean,brier,0.010737067208955092,-0.0009993733920946493,0.02234544674280088
positive_margin,table,0.5,corrupted_minus_clean,log_loss,0.02104837474229493,-0.013944337538491555,0.05305156688826007
positive_margin,table,1.0,corrupted_minus_clean,roc_auc,-0.05469845722300137,-0.10659186535764376,-0.007012622720897532
positive_margin,table,1.0,corrupted_minus_clean,accuracy,-0.04313725490196085,-0.09411764705882353,0.0039215686274509665
positive_margin,table,1.0,corrupted_minus_clean,sensitivity,-0.037634408602150504,-0.08602150537634412,0.010752688172043001
positive_margin,table,1.0,corrupted_minus_clean,specificity,-0.0579710144927536,-0.18840579710144933,0.0579710144927536
positive_margin,table,1.0,corrupted_minus_clean,balanced_accuracy,-0.04780271154745208,-0.11921458625525938,0.013674614305750232
positive_margin,table,1.0,corrupted_minus_clean,f1,-0.029141943130936543,-0.0622845154937977,0.0012042385075979023
positive_margin,table,1.0,corrupted_minus_clean,brier,0.02697985526916294,0.004101568735946778,0.04949606704193637
positive_margin,table,1.0,corrupted_minus_clean,log_loss,0.06496195353845585,0.00022256337631639493,0.12462113000919345
positive_margin,table,2.0,corrupted_minus_clean,roc_auc,-0.11804581580177653,-0.19682678821879393,-0.04488078541374474
positive_margin,table,2.0,corrupted_minus_clean,accuracy,-0.07843137254901966,-0.14509803921568631,-0.01176470588235301
positive_margin,table,2.0,corrupted_minus_clean,sensitivity,-0.02150537634408589,-0.08064516129032262,0.043010752688172005
positive_margin,table,2.0,corrupted_minus_clean,specificity,-0.23188405797101447,-0.4202898550724638,-0.043478260869565244
positive_margin,table,2.0,corrupted_minus_clean,balanced_accuracy,-0.1266947171575502,-0.22709209911173445,-0.03167367928938747
positive_margin,table,2.0,corrupted_minus_clean,f1,-0.04615275436491151,-0.08987664461958039,-0.003221688567760935
positive_margin,table,2.0,corrupted_minus_clean,brier,0.04752765077971505,0.01304605504328344,0.08121100158740151
positive_margin,table,2.0,corrupted_minus_clean,log_loss,0.13191673452566094,0.03373907585587233,0.22305324541284713
positive_margin,us,0.0,corrupted_minus_clean,roc_auc,0.0,0.0,0.0
positive_margin,us,0.0,corrupted_minus_clean,accuracy,0.0,0.0,0.0
positive_margin,us,0.0,corrupted_minus_clean,sensitivity,0.0,0.0,0.0
positive_margin,us,0.0,corrupted_minus_clean,specificity,0.0,0.0,0.0
positive_margin,us,0.0,corrupted_minus_clean,balanced_accuracy,0.0,0.0,0.0
positive_margin,us,0.0,corrupted_minus_clean,f1,0.0,0.0,0.0
positive_margin,us,0.0,corrupted_minus_clean,brier,0.0,0.0,0.0
positive_margin,us,0.0,corrupted_minus_clean,log_loss,0.0,0.0,0.0
positive_margin,us,0.25,corrupted_minus_clean,roc_auc,0.010752688172043001,-0.010752688172043001,0.03319308087891537
positive_margin,us,0.25,corrupted_minus_clean,accuracy,-0.0235294117647058,-0.09411764705882353,0.0470588235294116
positive_margin,us,0.25,corrupted_minus_clean,sensitivity,-0.09677419354838701,-0.17741935483870963,-0.032258064516129004
positive_margin,us,0.25,corrupted_minus_clean,specificity,0.17391304347826086,0.04347826086956519,0.34782608695652173
positive_margin,us,0.25,corrupted_minus_clean,balanced_accuracy,0.03856942496493687,-0.04277699859747541,0.12798036465638152
positive_margin,us,0.25,corrupted_minus_clean,f1,-0.025992050974701808,-0.07866559251148816,0.02013003250812684
positive_margin,us,0.25,corrupted_minus_clean,brier,0.0013732731360409506,-0.013482382960000877,0.016713411329969202
positive_margin,us,0.25,corrupted_minus_clean,log_loss,-0.007540820152211525,-0.05146523623645425,0.03528995662230235
positive_margin,us,0.5,corrupted_minus_clean,roc_auc,0.011220196353436185,-0.009817671809256634,0.03436185133239833
positive_margin,us,0.5,corrupted_minus_clean,accuracy,-0.007843137254901933,-0.07843137254901955,0.05882352941176472
positive_margin,us,0.5,corrupted_minus_clean,sensitivity,-0.09139784946236551,-0.16666666666666674,-0.026881720430107614
positive_margin,us,0.5,corrupted_minus_clean,specificity,0.21739130434782616,0.08695652173913032,0.391304347826087
positive_margin,us,0.5,corrupted_minus_clean,balanced_accuracy,0.0629967274427301,-0.023264375876577904,0.15778401122019636
positive_margin,us,0.5,corrupted_minus_clean,f1,-0.015707386144582447,-0.06757498598493876,0.029954371393566086
positive_margin,us,0.5,corrupted_minus_clean,brier,0.0015339238600130117,-0.013330005011840859,0.016904699011454374
positive_margin,us,0.5,corrupted_minus_clean,log_loss,-0.005927845852924107,-0.04926921215601326,0.03662198096007962
positive_margin,us,1.0,corrupted_minus_clean,roc_auc,-0.36524076671341743,-0.5040906965871903,-0.22977734922861154
