modality,seed,fold,quality,offset,gap
us,42,0,0.1658614575862884,0.620919719338417,1.9111657440662384
us,42,1,0.197185680270195,0.756448730826378,2.2499726116657257
us,42,2,0.1995158344507217,0.43225085735321045,2.985295057296753
us,42,3,0.126707062125206,0.45440539717674255,1.1941667348146439
us,42,4,0.1762809604406356,0.48811593651771545,2.3419267535209656
us,43,0,0.1598583608865738,0.32981783151626587,2.253162145614624
us,43,1,0.2470602989196777,0.5312101244926452,3.8096519708633423
us,43,2,0.1941609978675842,0.4617144465446471,2.857752501964569
us,43,3,0.094521515071392,0.16278564929962155,0.8124664723873138
us,43,4,0.2013293504714965,0.8108037859201431,2.1523250341415405
us,44,0,0.1672190427780151,0.3763731420040132,2.4421189427375793
us,44,1,0.2455291002988815,0.547188937664032,3.76008141040802
us,44,2,0.1949269473552703,0.3924540281295775,3.0526299476623535
us,44,3,0.2024786919355392,0.7118244171142578,2.438243150711059
us,44,4,0.1424254179000854,0.5103362575173378,1.556990534067154
emg,42,0,0.0031902850605547,-0.6880191415548323,0.4648843109607696
emg,42,1,0.1518496423959732,0.7893698215484619,0.4438098073005676
emg,42,2,0.1849803328514099,1.1231339275836945,0.8137528896331788
emg,42,3,0.141095221042633,0.6694131791591644,0.6370807886123656
emg,42,4,0.1675436943769455,0.9376696646213531,0.9442995563149451
emg,43,0,0.1316311359405517,0.44903694093227386,1.4724637866020203
emg,43,1,0.1645357310771942,0.8590988218784332,0.8882879912853241
emg,43,2,0.138878583908081,0.4666374623775482,0.9073739200830458
emg,43,3,0.2012601345777511,1.1583519577980042,1.0726437568664549
emg,43,4,0.1380122005939483,0.49481479823589325,1.0513965487480164
emg,44,0,0.0827193930745124,0.09359657764434814,0.5999090224504471
emg,44,1,0.0957045331597328,0.20003804564476013,0.6679737120866776
emg,44,2,0.1346127539873123,0.5596583336591721,0.6884779483079911
emg,44,3,0.1502518951892852,0.6970992833375931,0.8280394971370697
emg,44,4,0.085935853421688,0.15401447564363477,0.6250499337911605
table,42,0,0.3783722221851349,0.77423956990242,6.0569024085998535
table,42,1,0.2794335782527923,0.7525888830423355,4.161538004875183
table,42,2,0.5526420474052429,1.3680284023284912,8.31660795211792
table,42,3,0.3051749169826507,0.9525737166404724,4.451338052749634
table,42,4,0.2960703670978546,0.1181977391242981,5.465074777603149
table,43,0,0.3934202492237091,0.6476643085479739,6.57027530670166
table,43,1,0.2794751822948456,1.1365848779678345,4.035260438919067
table,43,2,0.5332821011543274,1.0850560665130615,8.641478538513184
table,43,3,0.3271702229976654,0.7187564969062805,5.673805475234985
table,43,4,0.4056231081485748,0.5440195798873901,6.719216585159302
table,44,0,0.3988565504550934,0.709110140800476,6.508031845092773
table,44,1,0.3655974864959717,0.9777516126632688,6.067818880081177
table,44,2,0.6022734045982361,1.2333838939666748,9.633068323135376
table,44,3,0.3481883704662323,0.6331423968076706,5.865306854248047
table,44,4,0.3773405253887176,0.593339204788208,6.589426040649414
