output,auc,ci_low,ci_high
us,0.6339410939691444,0.4957924263674614,0.7664796633941094
emg,0.3899018232819075,0.25315568022440393,0.52945301542777
table,0.8997194950911641,0.8246844319775596,0.9593443197755958
fusion,0.884992987377279,0.7994389901823281,0.9523141654978962
