comparison,metric,difference,lower,upper
main - table,roc_auc,0.0,-0.0245441795231416,0.0245441795231415
main - table,accuracy,0.0705882352941176,0.0,0.1411764705882352
main - table,sensitivity,0.1290322580645161,0.0483870967741936,0.2096774193548387
main - table,specificity,-0.0869565217391303,-0.217391304347826,0.0
main - table,balanced_accuracy,0.0210378681626928,-0.0546984572230013,0.0887096774193547
main - table,f1,0.0576923076923077,0.009780304752382,0.1144385724538396
main - table,brier,-0.0084841810985457,-0.0275072669627158,0.0086774302820725
main - table,log_loss,-0.0231400097005228,-0.0663565652253048,0.0159224067846729
main - us_table,roc_auc,0.0021037868162692,-0.0154277699859748,0.0189340813464236
main - us_table,accuracy,0.0117647058823529,0.0,0.0352941176470589
main - us_table,sensitivity,0.0161290322580646,0.0,0.0483870967741936
main - us_table,specificity,0.0,0.0,0.0
main - us_table,balanced_accuracy,0.0080645161290322,0.0,0.0241935483870968
main - us_table,f1,0.0084675014907572,0.0,0.0269472129937246
main - us_table,brier,-0.0018380566123258,-0.0093942876575594,0.0054915597171071
main - us_table,log_loss,-0.0095049593061138,-0.0291389263298076,0.0088145586310607
main - no_noise,roc_auc,0.0140252454417951,-0.0112201963534361,0.0413744740532958
main - no_noise,accuracy,0.0352941176470588,0.0,0.0823529411764705
main - no_noise,sensitivity,0.0161290322580646,0.0,0.0483870967741936
main - no_noise,specificity,0.0869565217391304,0.0,0.2173913043478261
main - no_noise,balanced_accuracy,0.0515427769985975,0.0,0.1167601683029453
main - no_noise,f1,0.0221961244862007,0.0,0.0495742219136874
main - no_noise,brier,-0.0115640630894003,-0.0243040070543632,0.0021594107564853
main - no_noise,log_loss,-0.0230635941097474,-0.0617583185493774,0.0220280244325874
main - equal,roc_auc,0.0014025245441794,-0.0210378681626929,0.0210378681626928
main - equal,accuracy,0.0117647058823529,0.0,0.0352941176470588
main - equal,sensitivity,0.0,0.0,0.0
main - equal,specificity,0.0434782608695653,0.0,0.1304347826086956
main - equal,balanced_accuracy,0.0217391304347827,0.0,0.0652173913043479
main - equal,f1,0.0069289489136817,0.0,0.0214694656488549
main - equal,brier,-0.0051914786873127,-0.0133838564803568,0.0035957163156211
main - equal,log_loss,-0.016009376838242,-0.0470725114953508,0.0220892885969584
main - us,roc_auc,0.3667601683029452,0.2082573632538568,0.5147440392706869
main - us,accuracy,0.1411764705882352,0.0705882352941176,0.2117647058823529
main - us,sensitivity,-0.032258064516129,-0.0967741935483871,0.032258064516129
main - us,specificity,0.6086956521739131,0.391304347826087,0.782608695652174
main - us,balanced_accuracy,0.288218793828892,0.1795231416549789,0.3888499298737728
main - us,f1,0.0720758693361433,0.0251269713980218,0.1172956828672278
main - us,brier,-0.0971066540442599,-0.1351659563169883,-0.0544813495321473
main - us,log_loss,-0.2622851932996874,-0.3803962351591414,-0.1169149126297836
main - emg,roc_auc,0.4474053295932678,0.2826086956521738,0.605890603085554
main - emg,accuracy,0.1647058823529411,0.0705882352941176,0.2588235294117647
main - emg,sensitivity,0.0483870967741936,-0.0483870967741935,0.1451612903225806
main - emg,specificity,0.4782608695652174,0.2173913043478261,0.6956521739130435
main - emg,balanced_accuracy,0.2633239831697055,0.1328278401122019,0.388148667601683
main - emg,f1,0.0960981047937569,0.0346675415573053,0.1581565826330532
main - emg,brier,-0.1164475587004609,-0.1578811346461207,-0.0703994004630303
main - emg,log_loss,-0.2972361911206455,-0.414374038162688,-0.1556526544053461
