method,seed,roc_auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1,brier,log_loss,tn,fp,fn,tp
qmf,42,0.9158485273492286,0.9664830565243571,0.8470588235294118,0.7720897615708275,0.9354838709677419,0.6086956521739131,0.8992248062015504,0.10196010816120436,0.32219177155562706,14,9,4,58
qmf,43,0.8786816269284713,0.9533125222148258,0.8352941176470589,0.7503506311360448,0.9354838709677419,0.5652173913043478,0.8923076923076924,0.12397968378694331,0.3952453224013039,13,10,4,58
qmf,44,0.8653576437587659,0.9437879859223406,0.8235294117647058,0.7422861150070126,0.9193548387096774,0.5652173913043478,0.8837209302325582,0.1253102911026765,0.4232298020471474,13,10,5,57
equal_late,42,0.9116409537166901,0.964818034559028,0.8470588235294118,0.7720897615708275,0.9354838709677419,0.6086956521739131,0.8992248062015504,0.10598114398540077,0.34076911065406523,14,9,4,58
equal_late,43,0.870967741935484,0.9474097888535133,0.8117647058823529,0.72054698457223,0.9193548387096774,0.5217391304347826,0.8769230769230769,0.12694712416863188,0.39385430865855425,12,11,5,57
equal_late,44,0.8562412342215988,0.9415776790385415,0.8352941176470589,0.7503506311360448,0.9354838709677419,0.5652173913043478,0.8923076923076924,0.13081410688701278,0.41018639139954705,13,10,4,58
