setting,modality,level,comparison,metric,estimate,ci95_low,ci95_high
equal_late,table,0.5,corrupted_minus_clean,accuracy,-0.0235294117647058,-0.06274509803921546,0.0117647058823529
equal_late,table,0.5,corrupted_minus_clean,sensitivity,-0.010752688172043112,-0.037634408602150615,0.021505376344086002
equal_late,table,0.5,corrupted_minus_clean,specificity,-0.05797101449275355,-0.17391304347826092,0.04347826086956519
equal_late,table,0.5,corrupted_minus_clean,balanced_accuracy,-0.03436185133239833,-0.09502103786816274,0.020920991117344467
equal_late,table,0.5,corrupted_minus_clean,f1,-0.014688873467499364,-0.03826143182264032,0.008192920784479196
equal_late,table,0.5,corrupted_minus_clean,brier,0.007469955375276546,-0.00516256571651962,0.019854365423405424
equal_late,table,0.5,corrupted_minus_clean,log_loss,0.017262124884427243,-0.013774812239866029,0.04731087065978928
equal_late,table,1.0,corrupted_minus_clean,roc_auc,-0.052360916316035566,-0.10635811126694705,-0.0018641888733052993
equal_late,table,1.0,corrupted_minus_clean,accuracy,-0.04313725490196063,-0.09411764705882353,0.007843137254901933
equal_late,table,1.0,corrupted_minus_clean,sensitivity,-0.026881720430107614,-0.06989247311827951,0.010752688172043112
equal_late,table,1.0,corrupted_minus_clean,specificity,-0.08695652173913032,-0.24637681159420288,0.07246376811594185
equal_late,table,1.0,corrupted_minus_clean,balanced_accuracy,-0.05691912108461916,-0.13849929873772793,0.022791023842917313
equal_late,table,1.0,corrupted_minus_clean,f1,-0.027647585662852747,-0.06106954141118051,0.003520362635256091
equal_late,table,1.0,corrupted_minus_clean,brier,0.025589761331830968,0.002196608836978243,0.04829444699281328
equal_late,table,1.0,corrupted_minus_clean,log_loss,0.067022912298834,0.006762379638917986,0.12363128407246698
equal_late,table,2.0,corrupted_minus_clean,roc_auc,-0.13721365123889684,-0.21996259934548856,-0.05726390836839644
equal_late,table,2.0,corrupted_minus_clean,accuracy,-0.08235294117647063,-0.14901960784313728,-0.011764705882353121
equal_late,table,2.0,corrupted_minus_clean,sensitivity,-0.016129032258064502,-0.06989247311827962,0.043010752688172116
equal_late,table,2.0,corrupted_minus_clean,specificity,-0.26086956521739124,-0.46376811594202905,-0.0579710144927536
