seed,modality,n,pearson,spearman
42,us,85,0.0547922428397912,-0.46140316591752983
42,emg,85,0.007276543657944806,-0.37451631815516906
42,table,85,-0.2324808444840406,-0.8568497166308383
43,us,85,0.051093680478792126,-0.46636701192104746
43,emg,85,0.10435261365441478,-0.25462184873949584
43,table,85,-0.08272051174407175,-0.7813171780340044
44,us,85,-0.11720248096493602,-0.5985147547391049
44,emg,85,0.2568734976345843,-0.2879421536056283
44,table,85,-0.10977776206009146,-0.8333398475669338
