method,missing,metric,estimate,change_from_clean,change_ci95_low,change_ci95_high
qmf,none,roc_auc,0.884992987377279,0.0,0.0,0.0
qmf,none,accuracy,0.8588235294117647,0.0,0.0,0.0
qmf,none,sensitivity,0.9516129032258065,0.0,0.0,0.0
qmf,none,specificity,0.6086956521739131,0.0,0.0,0.0
qmf,none,balanced_accuracy,0.7801542776998598,0.0,0.0,0.0
qmf,none,f1,0.9076923076923077,0.0,0.0,0.0
qmf,none,brier,0.11202104704504713,0.0,0.0,0.0
qmf,none,log_loss,0.3522514354644058,0.0,0.0,0.0
qmf,us,roc_auc,0.8870967741935484,0.0021037868162693263,-0.018232819074333828,0.024544179523141696
qmf,us,accuracy,0.8117647058823529,-0.04705882352941171,-0.10588235294117643,0.0
qmf,us,sensitivity,0.8709677419354839,-0.08064516129032262,-0.16129032258064513,-0.016129032258064502
qmf,us,specificity,0.6521739130434783,0.04347826086956519,0.0,0.13043478260869568
qmf,us,balanced_accuracy,0.761570827489481,-0.01858345021037877,-0.06950385694249646,0.04102384291725103
qmf,us,f1,0.8709677419354839,-0.03672456575682381,-0.08239033693579156,-0.0010986998718183205
qmf,us,brier,0.11441833594000643,0.0023972888949592985,-0.008912872758529627,0.01338267879790842
qmf,us,log_loss,0.3576060033684777,0.005354567904071905,-0.021938768233838894,0.03253917931053237
qmf,emg,roc_auc,0.8892005610098177,0.004207573632538653,-0.005610098176718092,0.018934081346423492
qmf,emg,accuracy,0.8588235294117647,0.0,0.0,0.0
qmf,emg,sensitivity,0.9516129032258065,0.0,0.0,0.0
qmf,emg,specificity,0.6086956521739131,0.0,0.0,0.0
qmf,emg,balanced_accuracy,0.7801542776998598,0.0,0.0,0.0
qmf,emg,f1,0.9076923076923077,0.0,0.0,0.0
qmf,emg,brier,0.11157864463986221,-0.0004424024051849218,-0.006339930414925698,0.00454753297095619
qmf,emg,log_loss,0.3507557060407174,-0.0014957294236884189,-0.015292705155732304,0.010835282324453452
qmf,table,roc_auc,0.5680224403927069,-0.31697054698457217,-0.4600280504908836,-0.17529803646563832
qmf,table,accuracy,0.7294117647058823,-0.12941176470588234,-0.18823529411764706,-0.05882352941176472
qmf,table,sensitivity,1.0,0.048387096774193505,0.0,0.11290322580645162
qmf,table,specificity,0.0,-0.6086956521739131,-0.782608695652174,-0.391304347826087
qmf,table,balanced_accuracy,0.5,-0.2801542776998598,-0.3807854137447405,-0.1770687237026648
qmf,table,f1,0.8435374149659864,-0.06415489272632124,-0.10302747053019679,-0.020098948670377204
qmf,table,brier,0.20405449287051192,0.09203344582546479,0.0530430018544414,0.12708961554685927
qmf,table,log_loss,0.5974455142108269,0.24519407874642113,0.11234916811469894,0.3508987490141477
equal_late,none,roc_auc,0.8835904628330996,0.0,0.0,0.0
equal_late,none,accuracy,0.8470588235294118,0.0,0.0,0.0
equal_late,none,sensitivity,0.9516129032258065,0.0,0.0,0.0
equal_late,none,specificity,0.5652173913043478,0.0,0.0,0.0
equal_late,none,balanced_accuracy,0.7584151472650771,0.0,0.0,0.0
equal_late,none,f1,0.9007633587786259,0.0,0.0,0.0
equal_late,none,brier,0.11721252579212597,0.0,0.0,0.0
equal_late,none,log_loss,0.3682608220705873,0.0,0.0,0.0
equal_late,us,roc_auc,0.8877980364656382,0.0042075736325385416,-0.011220196353436185,0.020336605890603043
equal_late,us,accuracy,0.8235294117647058,-0.02352941176470591,-0.08235294117647063,0.03529411764705881
equal_late,us,sensitivity,0.8709677419354839,-0.08064516129032262,-0.14516129032258074,-0.016129032258064502
equal_late,us,specificity,0.6956521739130435,0.13043478260869568,0.0,0.26086956521739135
equal_late,us,balanced_accuracy,0.7833099579242637,0.02489481065918664,-0.048387096774193505,0.10624123422159881
equal_late,us,f1,0.8780487804878049,-0.02271457829082102,-0.07062066966409679,0.018253600474168914
equal_late,us,brier,0.11592641567657552,-0.0012861101155504512,-0.017784759746942005,0.016045154854576693
equal_late,us,log_loss,0.3670655132868459,-0.0011953087837414111,-0.04947697577414779,0.053708223978815216
equal_late,emg,roc_auc,0.8913043478260869,0.007713884992987308,-0.011220196353436185,0.025946704067321247
equal_late,emg,accuracy,0.8470588235294118,0.0,0.0,0.0
equal_late,emg,sensitivity,0.9516129032258065,0.0,0.0,0.0
equal_late,emg,specificity,0.5652173913043478,0.0,0.0,0.0
equal_late,emg,balanced_accuracy,0.7584151472650771,0.0,0.0,0.0
equal_late,emg,f1,0.9007633587786259,0.0,0.0,0.0
equal_late,emg,brier,0.11497218072459757,-0.0022403450675284042,-0.013173042866476987,0.010465985373167048
equal_late,emg,log_loss,0.3650186229263109,-0.0032421991442764253,-0.046369770348795046,0.05004996578742822
equal_late,table,roc_auc,0.49368863955119213,-0.3899018232819075,-0.5463008415147265,-0.232117812061711
equal_late,table,accuracy,0.7294117647058823,-0.11764705882352944,-0.17647058823529416,-0.04705882352941182
equal_late,table,sensitivity,1.0,0.048387096774193505,0.0,0.11290322580645162
equal_late,table,specificity,0.0,-0.5652173913043478,-0.7391304347826086,-0.34782608695652173
equal_late,table,balanced_accuracy,0.5,-0.2584151472650771,-0.3590462833099579,-0.1553295932678822
equal_late,table,f1,0.8435374149659864,-0.05722594381263946,-0.095856524427953,-0.013605442176870652
equal_late,table,brier,0.21033768804988348,0.09312516225775751,0.05504258649852537,0.12954804834605244
equal_late,table,log_loss,0.629081839740661,0.2608210176700737,0.15139911035488615,0.36384897064969296
