setting,modality,level,variable,mean,change,ci95_low,ci95_high
equal_late,emg,0.0,quality,0.0833878805532175,0.0,0.0,0.0
equal_late,emg,0.0,branch_loss,0.7253820341007382,0.0,0.0,0.0
equal_late,emg,0.25,quality,0.07884327018864794,-0.004544610364569558,-0.007092668495317492,-0.002148463382976118
equal_late,emg,0.25,branch_loss,0.6910526573657989,-0.034329376734939285,-0.0692859971240845,-0.0006417250750111876
equal_late,emg,0.5,quality,0.07634889413815697,-0.007038986415060519,-0.010502942912524045,-0.003914252495989695
equal_late,emg,0.5,branch_loss,0.6611864056852128,-0.06419562841552535,-0.12263659494375091,-0.009144003977573067
equal_late,emg,1.0,quality,0.07716044217737672,-0.006227438375840779,-0.010552938824848219,-0.002174128101639502
equal_late,emg,1.0,branch_loss,0.6618880204125946,-0.06349401368814359,-0.14552624202826442,0.019943971394323818
equal_late,emg,2.0,quality,0.08715676508503023,0.003768884531812728,-0.0023271799735189273,0.009945901414148165
equal_late,emg,2.0,branch_loss,0.9590712558599861,0.23368922175924764,0.08101852484193504,0.39485188101631363
equal_late,table,0.0,quality,0.28145683602082955,0.0,0.0,0.0
equal_late,table,0.0,branch_loss,0.5693212128153033,0.0,0.0,0.0
equal_late,table,0.25,quality,0.27928807888350454,-0.0021687571373250757,-0.006006497577733661,0.0016711333832319989
equal_late,table,0.25,branch_loss,0.5882287201928156,0.018907507377512303,-0.028152658356950168,0.06986493930317991
equal_late,table,0.5,quality,0.2718435022298222,-0.009613333791007404,-0.017412465381636915,-0.0016922896579395004
equal_late,table,0.5,branch_loss,0.6134121682519227,0.04409095543661929,-0.0525780104909067,0.1416759231374933
equal_late,table,1.0,quality,0.2548050433835563,-0.02665179263727338,-0.040677651016565126,-0.012786204900373433
equal_late,table,1.0,branch_loss,0.6941124787907195,0.12479126597541608,-0.048000241041767866,0.2949024721989834
equal_late,table,2.0,quality,0.23509401374319994,-0.04636282227762968,-0.06628433129205398,-0.026745437690288178
equal_late,table,2.0,branch_loss,0.8594477589029113,0.29012654608760785,0.03901410055754615,0.5296431789332939
equal_late,us,0.0,quality,0.12398817946805674,0.0,0.0,0.0
equal_late,us,0.0,branch_loss,0.7102247989645191,0.0,0.0,0.0
equal_late,us,0.25,quality,0.10348694160872814,-0.020501237859328586,-0.02677490129105114,-0.014567109056401486
equal_late,us,0.25,branch_loss,0.6210548390360439,-0.08916995992847516,-0.16832997715064124,-0.013866922088892729
equal_late,us,0.5,quality,0.08716054847524837,-0.03682763099280836,-0.043732261560078145,-0.030128919225234814
equal_late,us,0.5,branch_loss,0.598329851440355,-0.11189494752416425,-0.20882626997392156,-0.021904459397972066
equal_late,us,1.0,quality,0.07228663048518248,-0.05170154898287424,-0.05914364994923566,-0.04439116647040921
equal_late,us,1.0,branch_loss,0.69183014335196,-0.01839465561255909,-0.11290417869496189,0.07269171215252936
equal_late,us,2.0,quality,0.07263112218648779,-0.05135705728156893,-0.05915668105450916,-0.043778378309109835
equal_late,us,2.0,branch_loss,0.6909111171766045,-0.019313681787914695,-0.11636248262586936,0.07382962433438672
positive_margin,emg,0.0,quality,0.14106509252542665,0.0,0.0,0.0
positive_margin,emg,0.0,branch_loss,0.7185112229749268,0.0,0.0,0.0
positive_margin,emg,0.25,quality,0.13116028518336093,-0.009904807342065718,-0.01724927550558289,-0.0033234019943697906
positive_margin,emg,0.25,branch_loss,0.7028133591405706,-0.015697863834356167,-0.05582133589422,0.023508073242466423
positive_margin,emg,0.5,quality,0.11916334075074081,-0.021901751774685833,-0.03258698269577235,-0.01219876217563771
positive_margin,emg,0.5,branch_loss,0.709922419459212,-0.00858880351571475,-0.06738798090445447,0.04902716732297843
positive_margin,emg,1.0,quality,0.10988500773377131,-0.03118008479165534,-0.041714718265487866,-0.021486773634910764
positive_margin,emg,1.0,branch_loss,0.7296491209198448,0.011137897944917876,-0.0599067120137168,0.08386157778256076
positive_margin,emg,2.0,quality,0.1062585580071398,-0.03480653451828688,-0.0465514532797072,-0.02366098404921336
positive_margin,emg,2.0,branch_loss,1.0210116373168094,0.302500414341883,0.18473401354029287,0.4277894357801261
positive_margin,table,0.0,quality,0.3847599294547941,0.0,0.0,0.0
positive_margin,table,0.0,branch_loss,0.6058296308797948,0.0,0.0,0.0
positive_margin,table,0.25,quality,0.3823765514917623,-0.002383377963031816,-0.007010156259281576,0.002185070613289577
positive_margin,table,0.25,branch_loss,0.6290233803730385,0.023193749493243633,-0.029073803434574552,0.08018698808609266
positive_margin,table,0.5,quality,0.3734143201140017,-0.011345609340792383,-0.020722786094628128,-0.001869613475659317
positive_margin,table,0.5,branch_loss,0.6568921001908046,0.0510624693110098,-0.05576214762489783,0.16008382893270906
positive_margin,table,1.0,quality,0.3520073826796089,-0.0327525467751852,-0.04957531980902345,-0.016123754609546626
positive_margin,table,1.0,branch_loss,0.7428752014839571,0.13704557060416225,-0.05268661221258,0.3239283108808635
positive_margin,table,2.0,quality,0.32672292790771307,-0.05803700154708104,-0.08161686799835927,-0.03451557069968165
positive_margin,table,2.0,branch_loss,0.9276484250243193,0.32181879414452447,0.04531044487275331,0.5823526268983198
positive_margin,us,0.0,quality,0.18161754082230958,0.0,0.0,0.0
positive_margin,us,0.0,branch_loss,0.7060707389139661,0.0,0.0,0.0
positive_margin,us,0.25,quality,0.16038565250977974,-0.021231888312529895,-0.029050651853721517,-0.013667766853339142
positive_margin,us,0.25,branch_loss,0.6566892973348206,-0.049381441579145556,-0.12026897134928922,0.0182958936963985
positive_margin,us,0.5,quality,0.13055353226030572,-0.05106400856200387,-0.05977469416444792,-0.04242255859150021
positive_margin,us,0.5,branch_loss,0.6200597264797859,-0.08601101243418029,-0.18348114423112935,0.007153043265825752
positive_margin,us,1.0,quality,0.08310892591679017,-0.09850861490551942,-0.10777378984112172,-0.0892484208839197
positive_margin,us,1.0,branch_loss,0.6718861805068123,-0.034184558407153995,-0.12821318328770162,0.05723586759243908
positive_margin,us,2.0,quality,0.0793368482170931,-0.10228069260521654,-0.11172266319065409,-0.09295957234535926
positive_margin,us,2.0,branch_loss,0.6864139237045461,-0.019656815209419882,-0.11408612949591056,0.07086653063597241
