setting,seed,fold,modality,n,pearson,spearman,covariance,q_mean,q_std,q_mean_minus_one_third
equal_late,42,0,us,17,-0.33934264352471943,-0.6176470588235294,-0.005866825965678656,0.10556434350747773,0.030582251177058668,-0.22776898982585558
equal_late,42,0,emg,17,-0.04802398645705325,0.5490196078431373,-0.00021074868994607686,0.05824994270656034,0.013091241054317797,-0.275083390626773
equal_late,42,0,table,17,-0.1289737028278501,-0.8651960784313727,-0.013346592682730645,0.2133734378242112,0.08907877661253617,-0.11995989550912212
equal_late,42,1,us,17,0.13975641676649936,-0.31617647058823534,0.0030787179507443187,0.10095422761055874,0.030296094792432064,-0.2323791057227746
equal_late,42,1,emg,17,-0.17043973020622055,-0.573529411764706,-0.005620185646101779,0.09598287527639064,0.053214801274285684,-0.23735045805694266
equal_late,42,1,table,17,-0.2332008812366676,-0.7892156862745099,-0.02332379592095253,0.19288914531558,0.09975509791310559,-0.14044418801775332
equal_late,42,2,us,17,-0.0016024587111376776,-0.573529411764706,-0.00019409641575681056,0.1916877675361516,0.07334044936766815,-0.1416455657971817
equal_late,42,2,emg,17,0.8250120437213246,0.2034313725490196,0.024482564289860505,0.08555467546174264,0.034348186860774434,-0.24777865787159067
equal_late,42,2,table,17,-0.3410831975819806,-0.9338235294117647,-0.04700050854141342,0.3277180275974414,0.10664608928769766,-0.005615305735891918
equal_late,42,3,us,17,-0.5483557337772154,-0.5441176470588236,-0.00818957756752304,0.09360668401816272,0.030861484938622164,-0.2397266493151706
equal_late,42,3,emg,17,0.8409293938165963,-0.10049019607843139,0.010410479765550412,0.07923544207642286,0.02044187022616112,-0.25409789125691046
equal_late,42,3,table,17,-0.461953947849449,-0.9338235294117647,-0.03412257984633403,0.21247619113621433,0.10778178255625387,-0.12085714219711899
equal_late,42,4,us,17,-0.25209936150622925,-0.625,-0.0017912265847090307,0.09690568466339029,0.011253602113223357,-0.23642764866994304
equal_late,42,4,emg,17,0.1696815862168118,-0.05392156862745098,0.0025008182699479955,0.07250946194240718,0.029547237131618904,-0.2608238713909261
equal_late,42,4,table,17,-0.5406527579852423,-0.931372549019608,-0.012087880158334546,0.10783955960725625,0.055460442217142886,-0.22549377372607707
equal_late,43,0,us,17,0.445444921298767,-0.15441176470588236,0.00527607201179447,0.09455385904651935,0.017612942081187542,-0.23877947428681395
equal_late,43,0,emg,17,-0.007283413780573497,-0.42892156862745107,-0.00015723376095316767,0.08991442487509162,0.03092404963331523,-0.2434189084582417
equal_late,43,0,table,17,-0.35671320055867906,-0.8259803921568629,-0.0200274497768708,0.17418058155397684,0.06662936437879276,-0.15915275177935648
equal_late,43,1,us,17,-0.28969967225353715,-0.6519607843137255,-0.006128979274752677,0.10254473765466954,0.02890956386338628,-0.23078859567866378
equal_late,43,1,emg,17,-0.04384163475252878,-0.4436274509803922,-1.8960951362034217e-05,0.07711534248391949,0.0020911974926242317,-0.2562179908494138
equal_late,43,1,table,17,-0.09640167020535867,-0.5220588235294118,-0.016089664069585362,0.24161811492911506,0.10640607290047531,-0.09171521840421826
equal_late,43,2,us,17,-0.03617071012856311,-0.7401960784313727,-0.0055629680207862995,0.21412549283944982,0.09178991314762158,-0.1192078404938835
equal_late,43,2,emg,17,0.894146253736497,0.4803921568627451,0.014347042460055524,0.08216670352601924,0.024419543432675474,-0.2511666298073141
equal_late,43,2,table,17,-0.2984861053166241,-0.8872549019607844,-0.06983310225695417,0.39125163194229806,0.13653199348782416,0.05791829860896475
equal_late,43,3,us,17,-0.30621890004680075,-0.5073529411764706,-0.002724432405717397,0.0906415143949294,0.0190781544293259,-0.2426918189384039
equal_late,43,3,emg,17,-0.04916755886368704,-0.4338235294117647,-0.0011225262104370898,0.10769009654791413,0.03267581363950533,-0.2256432367854192
equal_late,43,3,table,17,-0.704265169374797,-0.9558823529411765,-0.016403312528952513,0.15780829048614473,0.07115235038780299,-0.1755250428471886
equal_late,43,4,us,17,0.15520268485963834,-0.44852941176470595,0.004435020077096897,0.12762799727412033,0.031316040692789954,-0.20570533605921298
equal_late,43,4,emg,17,-0.07954119338658326,-0.13480392156862747,-0.0002967639189117462,0.08605677778683936,0.008333856520992616,-0.24727655554649397
equal_late,43,4,table,17,0.09076839606397422,-0.6446078431372549,0.00821451620367732,0.17904867129927987,0.07310693748878842,-0.15428466203405344
equal_late,44,0,us,17,0.10643587487221963,-0.4534313725490197,0.006664191821047123,0.15460886858854067,0.04507409520259351,-0.17872446474479264
equal_late,44,0,emg,17,-0.5671774990415689,-0.5686274509803922,-0.00045669623363499046,0.06866915985981226,0.005343980998692521,-0.26466417347352106
equal_late,44,0,table,17,-0.15810117020093845,-0.7352941176470589,-0.02150797536695119,0.20232293264752588,0.08551184797991788,-0.13101040068580744
equal_late,44,1,us,17,0.14993025680417754,-0.40441176470588236,0.001500342959006648,0.08906290469835679,0.014873764128480738,-0.24427042863497653
equal_late,44,1,emg,17,-0.275731629377555,-0.49509803921568635,-0.0006397185450291016,0.06909333901103495,0.0067308373298593125,-0.2642399943222984
equal_late,44,1,table,17,-0.5987531301109233,-0.8946078431372549,-0.0339741364734753,0.1832605713131777,0.10007411346419,-0.15007276202015563
equal_late,44,2,us,17,-0.1815912747822738,-0.7671568627450981,-0.01240231428924951,0.17439912190767068,0.05974327117736153,-0.15893421142566264
equal_late,44,2,emg,17,0.8305738274948793,0.49019607843137264,0.003933728804106268,0.06204942710406908,0.013536749367677797,-0.27128390622926424
equal_late,44,2,table,17,-0.11717095102181282,-0.8921568627450982,-0.02972127787670394,0.3957600920490948,0.13044817557176341,0.06242675871576148
equal_late,44,3,us,17,0.07677075315884074,-0.3602941176470589,0.00045837900105438544,0.09083990481377867,0.01192791564094432,-0.24249342851955463
equal_late,44,3,emg,17,0.4774552097956622,-0.34313725490196084,0.0015489107636761728,0.08852382193345125,0.007134405774749577,-0.24480951139988205
equal_late,44,3,table,17,-0.5764395436792071,-0.9460784313725492,-0.015496114850405395,0.14283435744807702,0.06875489058524424,-0.1904989758852563
equal_late,44,4,us,17,-0.14558829465217005,-0.6568627450980393,-0.0007619115352389296,0.09756685329154087,0.00975217334598931,-0.23576648004179246
equal_late,44,4,emg,17,-0.16415824519988925,-0.1985294117647059,-0.0019523333256840465,0.06956403593613347,0.02345226938280593,-0.26376929739719984
equal_late,44,4,table,17,-0.038505244662170424,-0.7205882352941178,-0.002304015604257675,0.1475505755555649,0.05797988114530422,-0.18578275777776843
positive_margin,42,0,us,17,-0.043995411034353546,-0.5637254901960785,-0.0022802928321004248,0.2303482781090272,0.06332820406163421,-0.10298505522430612
positive_margin,42,0,emg,17,-0.19348308262264247,-0.49019607843137264,-0.003980451640711288,0.11752072149930916,0.04476854316526304,-0.21581261183402417
positive_margin,42,0,table,17,-0.026390076611920554,-0.8553921568627452,-0.0032914128020228206,0.27153020626505614,0.09863573679378261,-0.061803127068277175
positive_margin,42,1,us,17,-0.24613647254451074,-0.6176470588235294,-0.012596520380920283,0.21378371766877569,0.06406216717430369,-0.11954961566455763
positive_margin,42,1,emg,17,-0.20008670740821413,-0.5171568627450981,-0.014010805259921636,0.1683099647191298,0.10649110268355265,-0.16502336861420352
positive_margin,42,1,table,17,-0.2543811408657143,-0.8357843137254902,-0.032615539083052085,0.31692372735111746,0.11950272175228649,-0.016409605982215858
positive_margin,42,2,us,17,-0.22749198548675223,-0.7426470588235294,-0.06900574299801635,0.4567731569884382,0.15325341083769212,0.12343982365510486
positive_margin,42,2,emg,17,0.6046731251525244,-0.10294117647058824,0.031058507924992897,0.10446343962451576,0.0654165691588429,-0.22886989370881755
positive_margin,42,2,table,17,-0.43037841794730114,-0.9534313725490198,-0.07690370036105021,0.45962982151423665,0.1302212850860195,0.12629648818090333
positive_margin,42,3,us,17,0.13894344660205143,-0.38970588235294124,0.01827428272898954,0.28429035175559864,0.10629417606805185,-0.04904298157773468
positive_margin,42,3,emg,17,0.14901202694499127,-0.06617647058823531,0.0015077125225368118,0.07236972110498038,0.024978731689332352,-0.26096361222835296
positive_margin,42,3,table,17,-0.4384384303692081,-0.9534313725490198,-0.09689526614048774,0.40300976880308814,0.1831524147510271,0.06967643546975483
positive_margin,42,4,us,17,0.3865400342620971,-0.26470588235294124,0.013613184361917639,0.18321135653166423,0.03601204250380364,-0.15012197680166908
positive_margin,42,4,emg,17,-0.07673388170929488,-0.5759803921568628,-0.003553838641882052,0.22039830378543823,0.07157528770056064,-0.11293502954789508
positive_margin,42,4,table,17,-0.4928611639772972,-0.9583333333333335,-0.028272413032510265,0.22200872405389144,0.0929920811380591,-0.11132460927944188
positive_margin,43,0,us,17,0.1389200455770897,-0.46323529411764713,0.010113254839882157,0.23922039385444832,0.05982644104171394,-0.094112939478885
positive_margin,43,0,emg,17,-0.15357901598240514,-0.41421568627450983,-0.009361731298276143,0.17266916403728244,0.09686109454871795,-0.16066416929605087
positive_margin,43,0,table,17,-0.29728233655025793,-0.8480392156862745,-0.04362110642158194,0.3006350102404277,0.11731503150113531,-0.0326983230929056
positive_margin,43,1,us,17,-0.03775704937347313,-0.536764705882353,-0.003870263691795254,0.2566863968504056,0.08415199367215169,-0.0766469364829277
positive_margin,43,1,emg,17,-0.1484414050927729,-0.482843137254902,-0.000793130893339878,0.12491214579102553,0.01745000122702219,-0.2084211875423078
positive_margin,43,1,table,17,-0.12146758303768983,-0.6200980392156864,-0.02617347616833209,0.3575357935177643,0.12562109174283692,0.024202460184431007
positive_margin,43,2,us,17,-0.40054427149399285,-0.7622549019607844,-0.01582941696663845,0.21443316293476286,0.04739272294019298,-0.11890017039857045
positive_margin,43,2,emg,17,0.7276239720303679,0.28186274509803927,0.015190880180482336,0.12151420988301259,0.03467342437479373,-0.21181912345032072
positive_margin,43,2,table,17,-0.2819997583218815,-0.928921568627451,-0.06117522638052,0.4187121569698433,0.13085898046227692,0.08537882363651
positive_margin,43,3,us,17,-0.5597299292755058,-0.6544117647058824,-0.00673183548590294,0.1280055178901077,0.030708514927577937,-0.20532781544322562
positive_margin,43,3,emg,17,0.2806210761229157,-0.33333333333333337,0.017357874928365973,0.167928043892596,0.09735004105736872,-0.16540528944073732
positive_margin,43,3,table,17,-0.6420360375069476,-0.9632352941176472,-0.031203805793589702,0.2605824918206653,0.13219121461837238,-0.07275084151266803
positive_margin,43,4,us,17,0.1912290075249941,-0.3970588235294118,0.012531277365250037,0.27338768971524674,0.057403711566794226,-0.059945643618086575
positive_margin,43,4,emg,17,0.33510031436158083,-0.10049019607843139,0.005067416286995821,0.22007291984317626,0.026092011388492858,-0.11326041349015706
