setting,modality,level,variable,mean,change,ci95_low,ci95_high
equal_late,emg,0.0,quality,0.07949170324147917,0.0,0.0,0.0
equal_late,emg,0.0,branch_loss,0.722573452019224,0.0,0.0,0.0
equal_late,emg,0.25,quality,0.08886478664049136,0.009373083399012197,0.003970578653628334,0.01492903855574482
equal_late,emg,0.25,branch_loss,0.8055224343842152,0.08294898236499111,-0.022704175085413697,0.20214980364722362
equal_late,emg,0.5,quality,0.19541102662877316,0.11591932338729405,0.10105165779127986,0.13047926246085098
equal_late,emg,0.5,branch_loss,2.871035037009545,2.148461584990321,1.7941505854951785,2.4863311195772844
equal_late,emg,1.0,quality,0.2079418188947088,0.1284501156532297,0.11390584108766678,0.1429006849956133
equal_late,emg,1.0,branch_loss,3.1101179468865485,2.387544494867325,2.0824091737585912,2.6897225052994833
equal_late,emg,2.0,quality,0.20418441947671323,0.12469271623523409,0.11073104718371349,0.138614927702066
equal_late,emg,2.0,branch_loss,3.0779954569791657,2.3554220049599417,2.077662386376095,2.637792692532142
equal_late,table,0.0,quality,0.21799548271239977,0.0,0.0,0.0
equal_late,table,0.0,branch_loss,0.5272500482260012,0.0,0.0,0.0
equal_late,table,0.25,quality,0.21648997140719614,-0.0015055113052036269,-0.004310522821969267,0.0013539194415499926
equal_late,table,0.25,branch_loss,0.5344965321955338,0.007246483969532595,-0.02621142724662825,0.042943871519923967
equal_late,table,0.5,quality,0.21048144352640594,-0.007514039185993814,-0.013224797680900966,-0.001832090031806067
equal_late,table,0.5,branch_loss,0.5429098052916184,0.01565975706561719,-0.05587608384540656,0.08414542552692436
equal_late,table,1.0,quality,0.19742991017311615,-0.020565572539283556,-0.03078762394972632,-0.010482085407681127
equal_late,table,1.0,branch_loss,0.5933947344621023,0.06614468623610104,-0.06199503284945986,0.18786662804827187
equal_late,table,2.0,quality,0.18285237205963506,-0.03514311065276464,-0.04938230969267442,-0.02122909669210416
equal_late,table,2.0,branch_loss,0.7108904752466414,0.18364042702064015,-0.0018418661870208144,0.3559131216097111
equal_late,us,0.0,quality,0.12164599959756815,0.0,0.0,0.0
equal_late,us,0.0,branch_loss,0.6864854417595209,0.0,0.0,0.0
equal_late,us,0.25,quality,0.07639729035835639,-0.04524870923921174,-0.056510896006465146,-0.03475265663372828
equal_late,us,0.25,branch_loss,0.6571531989995172,-0.029332242760003784,-0.15539762169414875,0.07909967621362288
equal_late,us,0.5,quality,0.07138536399096444,-0.05026063560660369,-0.06109882956614193,-0.040225246583835944
equal_late,us,0.5,branch_loss,0.6819766086300993,-0.0045088331294215675,-0.11243741063023709,0.09035272595636983
equal_late,us,1.0,quality,3.2744139227754383,3.15276792317787,2.7588063252593074,3.5846273388690304
equal_late,us,1.0,branch_loss,25.14079718075547,24.45431173899595,21.269003647411957,27.94139456354617
equal_late,us,2.0,quality,50.46070933428659,50.33906333468903,44.24566561017989,56.71123419304275
equal_late,us,2.0,branch_loss,361.3784215515735,360.69193610981404,323.3492959699502,400.3999445868395
original,emg,0.0,quality,0.13626520988695762,0.0,0.0,0.0
original,emg,0.0,branch_loss,0.7895142420834187,0.0,0.0,0.0
original,emg,0.25,quality,0.16013102819717007,0.023865818310212467,0.015766660615290497,0.03203646117273498
original,emg,0.25,branch_loss,1.0042017964755785,0.21468755439216017,0.09063710082395406,0.34400360519589945
original,emg,0.5,quality,0.2363622005712363,0.10009699068427867,0.08384559312299673,0.11565313936363346
original,emg,0.5,branch_loss,2.751193828013987,1.961679585930569,1.65579897668724,2.2618747022056502
original,emg,1.0,quality,0.25806737461803003,0.12180216473107246,0.10464665102608063,0.13846277170832832
original,emg,1.0,branch_loss,3.1651384763857897,2.3756242343023706,2.066759055038683,2.68676194791116
original,emg,2.0,quality,0.2561018297387883,0.11983661985183076,0.10201790280567079,0.1370992008767097
original,emg,2.0,branch_loss,3.1584031722904027,2.3688889302069844,2.074651032115509,2.66538549037151
original,table,0.0,quality,0.32662876001467883,0.0,0.0,0.0
original,table,0.0,branch_loss,0.6242084007637174,0.0,0.0,0.0
original,table,0.25,quality,0.32375875174317487,-0.0028700082715040756,-0.006971715450335557,0.0011616668582352175
original,table,0.25,branch_loss,0.6364822215504117,0.01227382078669431,-0.036347829672246194,0.06549521211120819
original,table,0.5,quality,0.3152559712577879,-0.011372788756891024,-0.019303830923403018,-0.0033588788161675164
original,table,0.5,branch_loss,0.6522920070909984,0.02808360632728126,-0.06840448323223326,0.12568387914327225
original,table,1.0,quality,0.2966447779214849,-0.029983982093193952,-0.04433932917095186,-0.01609840308309966
original,table,1.0,branch_loss,0.7195467728025774,0.09533837203886,-0.07474570459789706,0.2638507502511435
original,table,2.0,quality,0.275724850385602,-0.05090390962907691,-0.07076976324900303,-0.0314012235816982
original,table,2.0,branch_loss,0.8671092054423164,0.24290080467859906,-0.004627595313039471,0.4754952338240505
original,us,0.0,quality,0.20655071738303873,0.0,0.0,0.0
original,us,0.0,branch_loss,0.7175495382617503,0.0,0.0,0.0
original,us,0.25,quality,0.10613072617770801,-0.10041999120533077,-0.11351845020683955,-0.08794443412519554
original,us,0.25,branch_loss,0.6590244727197038,-0.05852506554204651,-0.1870569349698771,0.0650911605513953
original,us,0.5,quality,0.08450467332321054,-0.1220460440598282,-0.1347074015263249,-0.10998996956821754
original,us,0.5,branch_loss,0.6658197249462402,-0.05172981331550993,-0.16890042401996308,0.06107091527748729
original,us,1.0,quality,10.347695489295948,10.14114477191291,9.276670560929803,11.037561365594856
original,us,1.0,branch_loss,31.874892913282302,31.15734337502057,26.05281537614324,36.8498033087423
original,us,2.0,quality,151.69935349755815,151.49280278017514,134.89713658375288,168.9278337184829
original,us,2.0,branch_loss,448.8614319545771,448.1438824163153,327.4531117601236,588.7609620142712
positive_margin,emg,0.0,quality,0.14139593963456504,0.0,0.0,0.0
positive_margin,emg,0.0,branch_loss,0.7386571291614981,0.0,0.0,0.0
positive_margin,emg,0.25,quality,0.15017425314785024,0.008778313513285197,-0.0019055974857845144,0.01928556078649278
positive_margin,emg,0.25,branch_loss,0.7934384537678139,0.05478132460631575,-0.05065671450172377,0.17695702634410912
positive_margin,emg,0.5,quality,0.20696820056517118,0.06557226093060615,0.044492245726317804,0.08584594297999942
positive_margin,emg,0.5,branch_loss,2.572475878008051,1.8338187488465525,1.5180525650580725,2.1581684201196127
positive_margin,emg,1.0,quality,0.23474797313839646,0.09335203350383145,0.07071217190238589,0.11499583000086856
positive_margin,emg,1.0,branch_loss,3.1189476563650014,2.380290527203504,2.0862225511660375,2.6784710496868573
positive_margin,emg,2.0,quality,0.2336591055896742,0.09226316595510915,0.06985393156967083,0.11389909898189618
positive_margin,emg,2.0,branch_loss,3.072054389255498,2.3333972600940003,2.0456633984516643,2.636477764067696
positive_margin,table,0.0,quality,0.3401244499519759,0.0,0.0,0.0
positive_margin,table,0.0,branch_loss,0.6122922869289622,0.0,0.0,0.0
positive_margin,table,0.25,quality,0.3382578629586432,-0.0018665869933327836,-0.0059904703093704905,0.0022773652380101025
positive_margin,table,0.25,branch_loss,0.632905369334751,0.02061308240578845,-0.02607239715998469,0.07214852504480895
positive_margin,table,0.5,quality,0.32949601892941915,-0.010628431022556778,-0.01893256747912542,-0.0021746384527753415
positive_margin,table,0.5,branch_loss,0.6479406921692143,0.03564840524025211,-0.059859329853572125,0.13295176290608698
positive_margin,table,1.0,quality,0.30938325329543725,-0.030741196656538763,-0.045441192855291516,-0.01614938145929497
positive_margin,table,1.0,branch_loss,0.7118644630986879,0.0995721761697258,-0.06724408492738126,0.2629982438995168
positive_margin,table,2.0,quality,0.2862617682202969,-0.05386268173167909,-0.07414822166140368,-0.033801113588893726
positive_margin,table,2.0,branch_loss,0.863896948995154,0.25160466206619164,0.008004246607325441,0.4816031444637602
positive_margin,us,0.0,quality,0.24584088497886475,0.0,0.0,0.0
positive_margin,us,0.0,branch_loss,0.7441880104588527,0.0,0.0,0.0
positive_margin,us,0.25,quality,0.11553098612945843,-0.13030989884940627,-0.14687145915466782,-0.11400605745759666
positive_margin,us,0.25,branch_loss,0.6929138309036206,-0.05127417955523226,-0.16832693052642492,0.06263052079802243
positive_margin,us,0.5,quality,0.08954495077137074,-0.15629593420749396,-0.17180641028530944,-0.1410966065498008
positive_margin,us,0.5,branch_loss,0.6678643078196284,-0.07632370263922453,-0.18477181361586445,0.03208521442475657
positive_margin,us,1.0,quality,14.323147322305667,14.0773064373268,12.745063714258668,15.48494399955411
positive_margin,us,1.0,branch_loss,40.17477619570065,39.4305881852418,29.289458369554257,50.14505970031411
positive_margin,us,2.0,quality,214.05601290877345,213.81017202379465,193.02618398146763,235.16814020128123
positive_margin,us,2.0,branch_loss,585.3502272263072,584.6060392158483,436.2538931140809,743.2137566100049
rank0,emg,0.0,quality,0.12948715121430512,0.0,0.0,0.0
rank0,emg,0.0,branch_loss,0.7832240002996783,0.0,0.0,0.0
rank0,emg,0.25,quality,0.1453348096825328,0.015847658468227763,0.009318242753594141,0.022063705347648833
rank0,emg,0.25,branch_loss,0.9449409040750244,0.16171690377534606,0.02226429911123381,0.31342848059690853
rank0,emg,0.5,quality,0.24563799942143605,0.11615084820713095,0.09658061776322382,0.13459084200301494
rank0,emg,0.5,branch_loss,2.769032747761097,1.9858087474614183,1.6122362870523352,2.364323008906802
rank0,emg,1.0,quality,0.2658698903676731,0.136382739153368,0.11427598694302872,0.15704416100800134
rank0,emg,1.0,branch_loss,3.248592610452689,2.4653686101530115,2.110018862683594,2.832623642532069
rank0,emg,2.0,quality,0.26397432907441865,0.1344871778601135,0.11318881695469223,0.1546290496572414
rank0,emg,2.0,branch_loss,3.222751200121212,2.4395271998215344,2.10144719992393,2.7901100650049893
rank0,table,0.0,quality,0.349687287357508,0.0,0.0,0.0
rank0,table,0.0,branch_loss,0.6106801077431324,0.0,0.0,0.0
rank0,table,0.25,quality,0.3472270852697441,-0.002460202087763866,-0.0065601744902094965,0.0016774076048065704
rank0,table,0.25,branch_loss,0.6278709881445942,0.017190880401461727,-0.03284591946726529,0.07144389034291494
rank0,table,0.5,quality,0.3386437904308824,-0.011043496926625575,-0.0192453865845706,-0.0027759336373385317
rank0,table,0.5,branch_loss,0.6481727713852926,0.037492663642160244,-0.062383663093342506,0.14084166226433775
rank0,table,1.0,quality,0.31875960362308164,-0.030927683734426312,-0.04576672990824661,-0.016345507335283005
rank0,table,1.0,branch_loss,0.7208557590939639,0.1101756513508317,-0.06504983397870284,0.2838847153463394
rank0,table,2.0,quality,0.295878365820919,-0.05380892153658897,-0.07483232091941865,-0.03314566714676963
rank0,table,2.0,branch_loss,0.8828874997453752,0.2722073920022429,0.012832021094809973,0.5172291142702882
rank0,us,0.0,quality,0.23818270458894616,0.0,0.0,0.0
rank0,us,0.0,branch_loss,0.7984667670493034,0.0,0.0,0.0
rank0,us,0.25,quality,0.10948616294494642,-0.12869654164399974,-0.14304764629335578,-0.11446942226778645
rank0,us,0.25,branch_loss,0.6484281116840885,-0.15003865536521463,-0.2809443628495814,-0.021756254460881738
rank0,us,0.5,quality,0.09149710174674304,-0.14668560284220317,-0.16070267224380008,-0.1328627841651829
rank0,us,0.5,branch_loss,0.6443579574815587,-0.15410880956774448,-0.2769713741151336,-0.031963503051037886
rank0,us,1.0,quality,12.123699666627871,11.885516962038924,11.243124718739852,12.518302695137127
rank0,us,1.0,branch_loss,45.10657660914403,44.30810984209472,37.68532491704413,51.217759993130855
rank0,us,2.0,quality,161.1005871392543,160.86240443466536,153.42890260983935,168.36265726309193
rank0,us,2.0,branch_loss,608.600037578508,607.8015708114588,515.9266899103878,702.4908548318346
